NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
V30,RG-PSB-V30,"Organizations that bring together the humanities, physical sciences and social sciences to develop and enhance a broad understanding of particular populations, cultures or other related areas of research. Use this code for organizations that conduct broadly conceived interdisciplinary research or for those that address areas of interdisciplinary study not specified below.",NA,Unmapped
V31,RG-PSB-V31,"Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of the African American populations of the Western Hemisphere, with emphasis on the United States and the Caribbean.",NA,Unmapped
V32,RG-PSB-V32,"Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of women as individuals and social actors.",NA,Unmapped
V33,RG-PSB-V33,"Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of subsets of the population sharing common racial characteristics or common traits and customs.",NA,Unmapped
V34,RG-PSB-V34,Organizations that conduct research in the area of social science that applies social science principles to the study of urban institutions and the forces influencing urban social and political life.,NA,Unmapped
V35,RG-PSB-V35,"Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of particular geographical areas throughout the world.",NA,Unmapped
V36,RG-PSB-V36,"Organizations that conduct research in the area of social science that involves the systematic study of the human aging process and aged human populations using the knowledge and methodologies of the social sciences, psychology and the biological health sciences.",NA,Unmapped
V37,RG-PSB-V37,Organizations that conduct research in the area of social science that involves the systematic study of employee-management interactions and the management of issues and disputes regarding working conditions and worker benefit packages.,NA,Unmapped
V99,RG-PSB-V99,Use this code for organizations that clearly provide social science research services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Unmapped
W01,AA-PSB-W00,Alliance/Advocacy Organizations,NA,Unmapped
W0120,AA-PSB-W20,Alliance/Advocacy Organizations,Providing support to organizations that are concerned with the effective functioning of government including the administration of public agencies and the actions and decisions of public officials. Use this code for organizations that undertake a broad range of activities directed at improving the functioning of the public sector and for those that provide specific services in this area that are not specified below.,Unmapped
W0161,AA-PSB-W61,Alliance/Advocacy Organizations,"Providing support to cooperative 501(c)(14) associations that use money deposited by a group of people (e.g., fellow employees) and lend it out again to people in the same group at favorable interest rates.",Unmapped
